"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","is_interneruon_marker"
"Basp1.11",5.41736910127781e-14,0.669552083326534,0.323,0.126,1.54102481454948e-09,"12","Basp1","N/A"
"Dynlt3.1",7.21729916935695e-10,0.667755731037317,0.167,0.055,2.05303292171528e-05,"12","Dynlt3","N/A"
"Gnaq.1",1.16535133258054e-09,0.661996955929636,0.146,0.047,3.31495840065859e-05,"12","Gnaq","N/A"
"Kras",2.24129838742831e-08,0.660610407745492,0.106,0.028,0.000637559739287858,"12","Kras","N/A"
"Coa3",8.12654372649025e-07,0.648821323379329,0.126,0.042,0.0231167662843742,"12","Coa3","N/A"
"Ppp2ca.3",4.81097923647252e-10,0.644262664683216,0.212,0.075,1.36853115360697e-05,"12","Ppp2ca","N/A"
"Sec62.3",8.41724911796286e-08,0.644102061607559,0.192,0.074,0.00239437068409572,"12","Sec62","N/A"
"Aco2",2.39977721800883e-08,0.638069804575969,0.172,0.06,0.000682640627434791,"12","Aco2","N/A"
"Fkbp4",3.53573317955367e-09,0.638050938641757,0.136,0.04,0.000100577466025584,"12","Fkbp4","N/A"
"Sptbn1.2",1.01089437444301e-11,0.63802765897546,0.187,0.058,2.8755901375406e-07,"12","Sptbn1","N/A"
"Mapre2.1",2.33374759913712e-09,0.630535738846402,0.157,0.05,6.63857842050544e-05,"12","Mapre2","N/A"
"Hspd1",4.99952241458185e-07,0.625693927012703,0.136,0.048,0.0142216414605195,"12","Hspd1","N/A"
"Tecr.2",1.29096973637249e-10,0.622439737039595,0.172,0.057,3.67229251208518e-06,"12","Tecr","N/A"
"Atp6v1c1.1",4.01770642007724e-09,0.616641110999892,0.162,0.054,0.000114287676825517,"12","Atp6v1c1","N/A"
"Ndufa13.4",7.11038206209546e-09,0.614750381752743,0.207,0.078,0.000202261928138368,"12","Ndufa13","N/A"
"Mtpn.4",4.69150515017157e-09,0.610172559493718,0.187,0.07,0.000133454555501781,"12","Mtpn","N/A"
"Atp6v0d1.1",3.46927426700646e-09,0.607700516859551,0.162,0.056,9.86869757992658e-05,"12","Atp6v0d1","N/A"
"Arl6ip1.8",3.64677731516165e-11,0.607315631682674,0.263,0.105,1.03736227507088e-06,"12","Arl6ip1","N/A"
"Mpc2",4.65877864284418e-11,0.606244119766084,0.126,0.032,1.32523617274346e-06,"12","Mpc2","N/A"
"Ndufa5.1",2.95897757915368e-11,0.60510515112729,0.187,0.061,8.41710762166054e-07,"12","Ndufa5","N/A"
"Ube2d3.3",4.49360686069333e-08,0.592541500946311,0.177,0.064,0.00127825140759283,"12","Ube2d3","N/A"
"Thra.2",4.51209308574038e-08,0.586040562317517,0.192,0.076,0.00128350999916971,"12","Thra","N/A"
"Ncam1.2",2.51763235044214e-11,0.58269761241898,0.197,0.067,7.16165698406772e-07,"12","Ncam1","N/A"
"Hsp90ab1.7",8.74921842496589e-22,0.581398349521276,0.596,0.278,2.4888026731658e-17,"12","Hsp90ab1","N/A"
"Tspan7.4",2.02641964407874e-18,0.580294200715728,0.268,0.08,5.76435331954639e-14,"12","Tspan7","N/A"
"Rrp1.1",3.88332228883676e-09,0.575213097114657,0.177,0.062,0.00011046498582825,"12","Rrp1","N/A"
"Cox7a2.3",9.12230058270733e-16,0.574001905950379,0.237,0.07,2.59492962375693e-11,"12","Cox7a2","N/A"
"Atp6v1d",1.21532097680695e-11,0.572951271021339,0.177,0.053,3.45710205062504e-07,"12","Atp6v1d","N/A"
"Kif5c",9.93747027350953e-17,0.570226680349154,0.172,0.039,2.82681279400252e-12,"12","Kif5c","N/A"
"Atrx.2",5.32122670300027e-07,0.566598531331667,0.141,0.055,0.0151367614793546,"12","Atrx","N/A"
"Pgk1",5.24469371471484e-08,0.563592713247742,0.101,0.028,0.00149190557408778,"12","Pgk1","N/A"
"Ndufv3",5.99900785045726e-09,0.55730969024768,0.152,0.05,0.000170647777314107,"12","Ndufv3","N/A"
"Slc25a3.7",4.48544332114246e-11,0.5570942918643,0.288,0.118,1.27592920713218e-06,"12","Slc25a3","N/A"
"Dynlrb1.11",1.53172816730372e-19,0.556742081359435,0.379,0.139,4.35715394471215e-15,"12","Dynlrb1","N/A"
"Hspa8.10",1.01919261349803e-22,0.553094209469642,0.616,0.286,2.89919530835648e-18,"12","Hspa8","N/A"
"Ubl5",8.94999521395542e-07,0.552409679924905,0.121,0.043,0.0254591563856176,"12","Ubl5","N/A"
"Pafah1b1.3",5.13940252107733e-11,0.551649263256074,0.217,0.079,1.46195444114566e-06,"12","Pafah1b1","N/A"
"Atxn10.2",4.14957751376649e-07,0.540738426439667,0.167,0.066,0.0118038881956601,"12","Atxn10","N/A"
"Hp1bp3.2",4.73652725469305e-07,0.538109492994064,0.152,0.057,0.0134735254286999,"12","Hp1bp3","N/A"
"Uqcr10.2",1.7100343842085e-12,0.537737923358807,0.212,0.07,4.86436380931951e-08,"12","Uqcr10","N/A"
"Ndufa6.2",3.09768611566468e-08,0.535690954018296,0.162,0.056,0.000881167792461974,"12","Ndufa6","N/A"
"Pebp1.5",1.55339805354823e-09,0.534533257878822,0.227,0.09,4.41879610312331e-05,"12","Pebp1","N/A"
"Tpi1.9",1.75883908419869e-15,0.533689171052654,0.278,0.098,5.00319365891159e-11,"12","Tpi1","N/A"
"Ndufb8.1",2.26310230230397e-11,0.533484569415688,0.187,0.059,6.43762080913388e-07,"12","Ndufb8","N/A"
"Timm8b",1.87363032362409e-09,0.532241705484154,0.141,0.042,5.3297288185811e-05,"12","Timm8b","N/A"
"Ndufb6",1.12873705206671e-09,0.527314113996918,0.152,0.05,3.21080541830896e-05,"12","Ndufb6","N/A"
"Pkm.10",7.00601210269493e-16,0.513768952669234,0.369,0.157,1.9929302027326e-11,"12","Pkm","N/A"
"Ndufb3.2",3.28336044617801e-08,0.513209553389893,0.167,0.058,0.000933984712519797,"12","Ndufb3","N/A"
"Atpif1.3",1.8847386913702e-13,0.510422777634494,0.212,0.066,5.36132768147168e-09,"12","Atpif1","N/A"
"Prkacb.1",2.57806404674092e-09,0.501155547120314,0.141,0.045,7.33356098735922e-05,"12","Prkacb","N/A"
"Prkar1a.2",4.63314105525479e-08,0.497916825146503,0.192,0.08,0.00131794330457778,"12","Prkar1a","N/A"
"Anks1b.2",1.58456313343727e-08,0.495103454884414,0.157,0.058,0.000450744828937567,"12","Anks1b","N/A"
"Dpysl2.2",5.34129268624136e-09,0.495030113950511,0.192,0.075,0.000151938411752822,"12","Dpysl2","N/A"
"Uqcrb.9",2.03920200577373e-12,0.494273862749047,0.283,0.112,5.80071402562396e-08,"12","Uqcrb","N/A"
"Morf4l1.2",3.1982696173242e-08,0.492700984911813,0.197,0.079,0.000909779775344041,"12","Morf4l1","N/A"
"Arf1.8",3.29610890071165e-07,0.49006762431718,0.217,0.097,0.00937611137896436,"12","Arf1","N/A"
"Slc24a2.1",3.18045872946118e-09,0.486112978209452,0.126,0.038,9.04713290182528e-05,"12","Slc24a2","N/A"
"Psmd7",4.2158957564511e-09,0.479467432860922,0.146,0.048,0.000119925370688008,"12","Psmd7","N/A"
"Rabep1",1.1424470089069e-08,0.479239790925039,0.111,0.031,0.000324980476153656,"12","Rabep1","N/A"
"Tuba1b.9",2.68818115627856e-14,0.478598164244176,0.359,0.154,7.64680011714999e-10,"12","Tuba1b","N/A"
"Skp1.4",5.58192737055691e-11,0.474027088506616,0.212,0.077,1.58783505982862e-06,"12","Skp1","N/A"
"Slc1a2.12",5.69149304268834e-16,0.472773044202196,0.343,0.136,1.61900211092312e-11,"12","Slc1a2","N/A"
"Map4.3",8.4633503638383e-14,0.469835652231045,0.212,0.068,2.40748464449744e-09,"12","Map4","N/A"
"Hint1.3",5.92076728358773e-09,0.46975980570781,0.172,0.064,0.000168422146148937,"12","Hint1","N/A"
"Luc7l3.1",2.26822039426371e-10,0.467230169279256,0.192,0.07,6.45217973352254e-06,"12","Luc7l3","N/A"
"Calm3.11",3.13621510916571e-18,0.463577666344873,0.348,0.127,8.92127749953279e-14,"12","Calm3","N/A"
"Apbb1.1",2.85819495541511e-08,0.463549481055149,0.116,0.037,0.000813042137017382,"12","Apbb1","N/A"
"Fkbp2.2",5.94498525638765e-09,0.458890688412083,0.146,0.048,0.000169111050603203,"12","Fkbp2","N/A"
"Malat1.12",2.5062832820963e-15,0.45307840143869,0.667,0.388,7.12937342425113e-11,"12","Malat1","N/A"
"Idh3g",1.44208207431807e-06,0.45217043470103,0.116,0.042,0.0410214666860519,"12","Idh3g","N/A"
"Taok1.1",7.21623568725847e-09,0.443004916276306,0.136,0.047,0.000205273040359754,"12","Taok1","N/A"
"Rab2a.10",1.75433798964084e-10,0.433390478593834,0.242,0.098,4.99038984533232e-06,"12","Rab2a","N/A"
"Aldoa.8",1.13846096763205e-18,0.433313896462456,0.49,0.22,3.23846606852613e-14,"12","Aldoa","N/A"
"BC031181",3.6538250507352e-08,0.429385570240923,0.126,0.041,0.00103936707393214,"12","BC031181","N/A"
"Cspg5.1",2.73929833638693e-11,0.42869284690355,0.172,0.055,7.79220804768627e-07,"12","Cspg5","N/A"
"Mgll",6.44718941857726e-09,0.424885000012257,0.141,0.046,0.000183396750200849,"12","Mgll","N/A"
"Psma2.1",1.1536850382149e-07,0.424270000040815,0.197,0.082,0.0032817724597061,"12","Psma2","N/A"
"Atp6v0b.3",2.03207194785413e-08,0.420063317876873,0.192,0.081,0.000578043186286587,"12","Atp6v0b","N/A"
"Pink1.4",8.89296799212059e-11,0.417289386603504,0.197,0.07,2.52969367503862e-06,"12","Pink1","N/A"
"Ap2m1",1.33332217033521e-09,0.416179149816318,0.136,0.045,3.79276824573555e-05,"12","Ap2m1","N/A"
"Suclg1",1.37491155162193e-07,0.414817512704058,0.111,0.034,0.00391107339974374,"12","Suclg1","N/A"
"Psma7.4",8.05288226170846e-09,0.411905968270419,0.207,0.084,0.000229072288816559,"12","Psma7","N/A"
"Vti1b",1.67456986364397e-09,0.403296849630301,0.121,0.034,4.76348143412163e-05,"12","Vti1b","N/A"
"Strap",1.94869709337087e-07,0.397215985071683,0.101,0.033,0.00554326375180278,"12","Strap","N/A"
"Gpi1.9",2.27662924740406e-12,0.39240260360514,0.253,0.101,6.47609955716559e-08,"12","Gpi1","N/A"
"Ppia.10",1.19492851107596e-18,0.390944550451452,0.48,0.218,3.39909364260668e-14,"12","Ppia","N/A"
"Bsg.10",1.16634579079563e-14,0.379161596345408,0.268,0.104,3.31778723649724e-10,"12","Bsg","N/A"
"Ndufv2.2",2.68076841307419e-10,0.376277989959444,0.187,0.066,7.62571382783083e-06,"12","Ndufv2","N/A"
"Rsrp1.10",9.10885281731676e-09,0.366429801010332,0.237,0.11,0.000259110427241393,"12","Rsrp1","N/A"
"Rap1gds1",2.79144894010718e-07,0.365886421674001,0.106,0.035,0.00794055565502888,"12","Rap1gds1","N/A"
"Gnas.10",1.0189661152418e-24,0.364295287147559,0.702,0.363,2.89855101141682e-20,"12","Gnas","N/A"
"Eif4h.3",6.8908328381801e-08,0.36383134631348,0.177,0.072,0.00196016630914871,"12","Eif4h","N/A"
"Oxct1.10",5.13147359469298e-08,0.354966354021512,0.242,0.12,0.00145969897874636,"12","Oxct1","N/A"
"Csnk1a1.4",8.12627701134984e-12,0.354820103946917,0.212,0.08,2.31160075864858e-07,"12","Csnk1a1","N/A"
"Ubl3.3",6.2848368055104e-07,0.353131109070135,0.182,0.088,0.0178778467769549,"12","Ubl3","N/A"
"Ndufa1",9.41774808782069e-08,0.353059902627818,0.126,0.042,0.00267897262106147,"12","Ndufa1","N/A"
"Osbpl1a.2",8.39542636695713e-07,0.346334816790112,0.131,0.048,0.0238816298434462,"12","Osbpl1a","N/A"
"Ndufs8",2.32890992961911e-07,0.344383728497608,0.121,0.045,0.00662481718579453,"12","Ndufs8","N/A"
"Anp32a",1.11022215788531e-06,0.343256618995851,0.136,0.051,0.0315813795032056,"12","Anp32a","N/A"
"Nap1l1.1",3.35793247796379e-08,0.336207041106147,0.172,0.071,0.000955197472681579,"12","Nap1l1","N/A"
"Ank3.2",9.72299914622448e-08,0.33073927623256,0.146,0.058,0.00276580433713502,"12","Ank3","N/A"
"Ndufab1",5.0657074696028e-07,0.324041066545017,0.111,0.038,0.0144099114680321,"12","Ndufab1","N/A"
"Gnb1.9",3.01136216783939e-12,0.323468174924022,0.253,0.099,8.56612082263594e-08,"12","Gnb1","N/A"
"Ndufa12.2",5.51159246035521e-09,0.310812663422617,0.172,0.065,0.000156782759127264,"12","Ndufa12","N/A"
"Atp5o.3",7.35336891439085e-08,0.309331857380363,0.167,0.066,0.00209173932138762,"12","Atp5o","N/A"
"Ddb1",1.61996466307405e-06,0.308276317177791,0.116,0.043,0.0460815148058044,"12","Ddb1","N/A"
"Ndufa8.2",9.57760541532646e-10,0.305916240967937,0.172,0.062,2.72444563644377e-05,"12","Ndufa8","N/A"
"Chchd2.11",1.97153878576087e-11,0.305027830873686,0.348,0.168,5.60823922997538e-07,"12","Chchd2","N/A"
"Atp5j.10",2.83888910908375e-15,0.300672948438634,0.278,0.1,8.07550395969963e-11,"12","Atp5j","N/A"
"Ndufc2.4",1.13836643975568e-07,0.289725947571569,0.187,0.079,0.003238197174529,"12","Ndufc2","N/A"
"Spop",2.33585100076925e-07,0.275498229668022,0.157,0.066,0.00664456175678821,"12","Spop","N/A"
"Ubb.6",2.95514017899726e-23,0.272506839362339,0.742,0.415,8.40619175317562e-19,"12","Ubb","N/A"
"Dync1li2",4.21228943794164e-09,0.26254878614725,0.121,0.04,0.000119822785351688,"12","Dync1li2","N/A"
"Pdap1.3",3.25893931469428e-08,0.261534156946107,0.152,0.059,0.000927037877457935,"12","Pdap1","N/A"
"Arf3",1.91329023666592e-07,0.261503722310709,0.136,0.047,0.00544254540721986,"12","Arf3","N/A"
"Ahcyl1",3.04847868725471e-07,0.259462339913831,0.121,0.044,0.00867170247376474,"12","Ahcyl1","N/A"
"Ttll7.1",5.23512639863451e-07,0.25874839152852,0.131,0.052,0.0148918405535557,"12","Ttll7","N/A"
"Atp5h.10",4.87716143617037e-16,0.25403348455726,0.288,0.11,1.38735734213302e-11,"12","Atp5h","N/A"
"Kif1b.11",2.77501535792972e-09,0.254015984363624,0.237,0.11,7.8938086871669e-05,"12","Kif1b","N/A"
"Sf3b2.2",5.87980266276575e-09,0.253591521307427,0.167,0.066,0.000167256866545035,"12","Sf3b2","N/A"
"Cox6c.6",7.64632842207552e-15,0.249499918934867,0.263,0.094,2.1750745829436e-10,"12","Cox6c","N/A"
"Prnp.11",3.17622995058917e-14,0.24496705754296,0.253,0.1,9.03510371744595e-10,"12","Prnp","N/A"
"Ndufb4",1.75169197895966e-06,0.243284443137723,0.111,0.038,0.0498286300334866,"12","Ndufb4","N/A"
"Cox5b.11",7.3122118469268e-24,0.232723287985849,0.404,0.148,2.0800317819768e-19,"12","Cox5b","N/A"
"Prdx5.11",1.28134568052475e-14,0.219239523863025,0.288,0.122,3.6449159228207e-10,"12","Prdx5","N/A"
"Ndufc1.2",3.98033627531601e-08,0.21826148397147,0.152,0.058,0.00113224645687639,"12","Ndufc1","N/A"
"Psmc5.2",2.25047932600189e-09,0.208208147725408,0.167,0.062,6.40171349074498e-05,"12","Psmc5","N/A"
"Ndufb10.2",6.88176736873015e-07,0.204687560941577,0.157,0.065,0.0195758754570898,"12","Ndufb10","N/A"
"Zcrb1",1.08316434231444e-07,-0.214270226832242,0.106,0.043,0.00308116928814766,"12","Zcrb1","N/A"
"Gapdh.10",9.66436085605084e-10,-0.217556880238125,0.288,0.167,2.74912408911222e-05,"12","Gapdh","N/A"
"Cops9.4",4.23927562397375e-07,-0.222485380119523,0.177,0.089,0.0120590434399557,"12","Cops9","N/A"
"Hpca.1",9.92807604670753e-07,-0.224186682663756,0.146,0.065,0.0282414051224642,"12","Hpca","N/A"
"Mrfap1.9",6.71839198114862e-11,-0.226516986863835,0.273,0.144,1.91111378295754e-06,"12","Mrfap1","N/A"
"Hsbp1.10",8.14720659471882e-11,-0.242803473194225,0.242,0.126,2.31755438793372e-06,"12","Hsbp1","N/A"
"Fkbp1a.11",6.39003595088172e-07,-0.292071402783837,0.192,0.11,0.0181770962658782,"12","Fkbp1a","N/A"
"Cox4i1.12",1.914609825281e-13,-0.300209031261469,0.475,0.278,5.44629910899433e-09,"12","Cox4i1","N/A"
"Ubc.7",1.12971929754358e-07,-0.300922047894797,0.303,0.204,0.00321359951379248,"12","Ubc","N/A"
"Bc1.12",8.26881811724989e-20,-0.304330227545681,0.338,0.142,2.3521480016329e-15,"12","Bc1","N/A"
"Psap.11",6.51465487211367e-08,-0.305655179666672,0.278,0.187,0.00185315872492145,"12","Psap","N/A"
"Ncl.10",9.89841515216077e-10,-0.312880653113366,0.278,0.165,2.81570317418365e-05,"12","Ncl","N/A"
"Timp2.12",3.87761165482425e-07,-0.346392164280001,0.227,0.157,0.0110302541133131,"12","Timp2","N/A"
"Eloc.4",4.68430497270546e-08,-0.347630207223494,0.162,0.081,0.00133249739253579,"12","Eloc","N/A"
"Akr1a1.12",1.5483107341493e-09,-0.354847250442007,0.263,0.163,4.4043247143611e-05,"12","Akr1a1","N/A"
"mt-Nd5.3",1.74291822403871e-08,-0.367715721666846,0.177,0.081,0.000495790518010052,"12","mt-Nd5","N/A"
"Selenow.2",5.71981654195562e-09,-0.378073813151815,0.157,0.069,0.00016270590135247,"12","Selenow","N/A"
"Zfp706.4",9.27388913749199e-07,-0.405031215097727,0.162,0.091,0.0263805050405097,"12","Zfp706","N/A"
"Aldoc.12",2.94182232549929e-14,-0.414068186373605,0.338,0.185,8.36830778711528e-10,"12","Aldoc","N/A"
"Selenok.11",2.17798017589621e-08,-0.424155228206863,0.202,0.121,0.000619548240835436,"12","Selenok","N/A"
"mt-Rnr2.10",2.97759497471962e-10,-0.440718416388287,0.854,0.711,8.47006666508744e-06,"12","mt-Rnr2","N/A"
"Stmn4.2",1.3229376828791e-06,-0.4459659240696,0.126,0.067,0.0376322853271788,"12","Stmn4","N/A"
"Septin8.2",3.51891448038687e-07,-0.469094315863706,0.126,0.064,0.0100099041309085,"12","Septin8","N/A"
"Cox6a1.12",2.56461871410603e-09,-0.498091165855384,0.283,0.159,7.29531439414603e-05,"12","Cox6a1","N/A"
"Cox8a.11",1.25235002680719e-07,-0.503938553555061,0.237,0.137,0.00356243488625573,"12","Cox8a","N/A"
"Camk1d.11",1.8340866389521e-11,-0.510220588113281,0.47,0.381,5.21724285316315e-07,"12","Camk1d","N/A"
"Cdc42.10",3.65912925281603e-08,-0.51953977272739,0.263,0.175,0.00104087590725605,"12","Cdc42","N/A"
"Aplp1.12",3.04445224768603e-11,-0.523621405560489,0.273,0.174,8.66024886376768e-07,"12","Aplp1","N/A"
"Rpl3.7",1.7387289445298e-13,-0.565928488508959,0.369,0.248,4.94598835560946e-09,"12","Rpl3","N/A"
"Eef1b2.10",4.70326666110505e-07,-0.600936413974956,0.253,0.183,0.0133789123441794,"12","Eef1b2","N/A"
"Rpl21.9",9.39985891883095e-09,-0.614339249867371,0.313,0.223,0.000267388386805065,"12","Rpl21","N/A"
"Rpl4.11",2.89913654345049e-08,-0.652979230447118,0.379,0.314,0.000824688381149926,"12","Rpl4","N/A"
"Rpl8.10",1.6277804078609e-07,-0.67478424710379,0.263,0.204,0.0046303841482011,"12","Rpl8","N/A"
"mt-Co1.12",4.09783027395405e-10,-0.691486693325798,0.333,0.225,1.16566879972897e-05,"12","mt-Co1","N/A"
"mt-Rnr1.11",8.16900212778318e-18,-0.692865418345647,0.828,0.616,2.3237543452692e-13,"12","mt-Rnr1","N/A"
"Cd81.12",2.69122144622013e-12,-0.694680374369126,0.343,0.262,7.65544852591778e-08,"12","Cd81","N/A"
"Clu.12",2.5715165503022e-14,-0.719537252348315,0.439,0.315,7.31493597898963e-10,"12","Clu","N/A"
"Gphn.11",9.9155568878324e-10,-0.743074049698956,0.404,0.326,2.82057931231281e-05,"12","Gphn","N/A"
"Rpl29.11",1.35825548704447e-07,-0.757401401818041,0.232,0.175,0.00386369355844669,"12","Rpl29","N/A"
"Prdx6.11",1.04595079505131e-07,-0.764377295979216,0.268,0.227,0.00297531163160294,"12","Prdx6","N/A"
"Marcks.10",2.36458595553329e-09,-0.766781228656149,0.273,0.232,6.72630120911001e-05,"12","Marcks","N/A"
"Rps21.11",1.65775914102966e-09,-0.808195842042385,0.303,0.221,4.71566165257298e-05,"12","Rps21","N/A"
"Rpl17.9",5.56051616868368e-10,-0.810816623198232,0.343,0.284,1.58174442934376e-05,"12","Rpl17","N/A"
"Rpl31.9",1.36298101979008e-08,-0.822220739646195,0.338,0.293,0.000387713580889487,"12","Rpl31","N/A"
"Glul.12",5.04625810985435e-10,-0.825106391207063,0.434,0.379,1.43545858192917e-05,"12","Glul","N/A"
"Kif5a.12",9.14219106286881e-28,-0.832597301375678,0.49,0.272,2.60058766974366e-23,"12","Kif5a","N/A"
"Itm2b.12",3.86440366679166e-21,-0.870020191058335,0.465,0.385,1.09926826705555e-16,"12","Itm2b","N/A"
"Rpl9.10",4.26453969238447e-09,-0.907993290870562,0.303,0.24,0.000121309096089568,"12","Rpl9","N/A"
"Gpm6b.11",4.55849971476131e-07,-0.925543535682369,0.227,0.186,0.01296710828861,"12","Gpm6b","N/A"
"Rn18s.11",1.11596561614846e-24,-0.937142396238811,0.904,0.749,3.17447579169591e-20,"12","Rn18s","N/A"
"Lars2.11",1.3189360004458e-08,-0.937322937644288,0.364,0.333,0.000375184534686811,"12","Lars2","N/A"
"Rps14.10",1.40300348887634e-16,-0.970601101132331,0.47,0.398,3.99098372445765e-12,"12","Rps14","N/A"
"Rps4x.10",7.45295785046117e-07,-1.01514520380531,0.268,0.258,0.0212006839014219,"12","Rps4x","N/A"
"Rpl14.10",1.33094572949018e-06,-1.01631682440115,0.232,0.221,0.0378600822210777,"12","Rpl14","N/A"
"Rpl23.10",1.50611140598556e-14,-1.01884222997213,0.374,0.3,4.28428450546653e-10,"12","Rpl23","N/A"
"Actb.12",4.86480526903928e-31,-1.0504793921165,0.662,0.6,1.38384250683091e-26,"12","Actb","N/A"
"Rapgef4",1.62619335397476e-12,-1.06115922137357,0.121,0.053,4.6258696147166e-08,"12","Rapgef4","N/A"
"Cmss1.12",5.35570658944627e-09,-1.06362399690052,0.298,0.294,0.000152348429643389,"12","Cmss1","N/A"
"Cst3.10",2.81684969626927e-20,-1.07322037784923,0.606,0.623,8.01281064600756e-16,"12","Cst3","N/A"
"Rplp1.9",1.2032885234839e-06,-1.08414551229559,0.253,0.243,0.0342287453390231,"12","Rplp1","N/A"
"Fau.10",2.20176168366405e-07,-1.10777097298051,0.253,0.261,0.00626313128535076,"12","Fau","N/A"
"Eef1a1.9",3.32757961065795e-31,-1.11251317118287,0.606,0.591,9.46563296047759e-27,"12","Eef1a1","N/A"
"Rps24.10",1.22743878847191e-08,-1.13199579234174,0.298,0.288,0.000349157237768719,"12","Rps24","N/A"
"Scd2.12",8.86998919273299e-11,-1.1557564471341,0.283,0.264,2.52315712576483e-06,"12","Scd2","N/A"
"Rpl5.12",2.51750959954611e-08,-1.20154734044563,0.253,0.269,0.000716130780686887,"12","Rpl5","N/A"
"Rps5.8",5.00501283944716e-08,-1.21878603303375,0.263,0.275,0.00142372595230914,"12","Rps5","N/A"
"Qk.12",1.10384838344298e-09,-1.2208287643034,0.278,0.299,3.14000711154191e-05,"12","Qk","N/A"
"Npm1.10",2.4963937521254e-07,-1.22233654117508,0.207,0.2,0.00710124166729591,"12","Npm1","N/A"
"Rps9.9",3.16342006502978e-08,-1.22249693188672,0.268,0.272,0.00089986647169837,"12","Rps9","N/A"
"Rplp0.11",6.59092127337586e-11,-1.26437901136776,0.298,0.329,1.8748534654245e-06,"12","Rplp0","N/A"
"Septin4.11",5.44324160841775e-07,-1.26717428496221,0.187,0.174,0.0154838450793051,"12","Septin4","N/A"
"Rps8.9",6.66281264777967e-07,-1.30015892859742,0.237,0.277,0.0189530368578741,"12","Rps8","N/A"
"Rpl18a.9",5.40253687743579e-16,-1.30619625572794,0.359,0.373,1.53680564015538e-11,"12","Rpl18a","N/A"
"Ctsb.12",5.30246463820569e-25,-1.31198544133084,0.424,0.412,1.50833909098399e-20,"12","Ctsb","N/A"
"Rpsa.10",1.33747106386701e-11,-1.31264670715052,0.263,0.264,3.8045701882761e-07,"12","Rpsa","N/A"
"Rps3.8",1.5649214032758e-12,-1.34791525636647,0.313,0.316,4.45157542375835e-08,"12","Rps3","N/A"
"B2m.9",9.94765286913824e-10,-1.35624487126593,0.227,0.298,2.82970933515506e-05,"12","B2m","N/A"
"Tpt1.10",1.17085986068939e-10,-1.35728050735104,0.328,0.387,3.33062795971704e-06,"12","Tpt1","N/A"
"Tmsb4x.12",5.08532508581331e-33,-1.3783758982594,0.571,0.589,1.44657157391045e-28,"12","Tmsb4x","N/A"
"Qdpr.12",2.56213185777931e-11,-1.39347389367294,0.268,0.24,7.28824028263902e-07,"12","Qdpr","N/A"
"Fth1.12",4.81805582890912e-62,-1.46454118941667,0.899,0.893,1.37054416109149e-57,"12","Fth1","N/A"
"Rps2.12",5.02967150991417e-10,-1.47131635921952,0.268,0.32,1.43074035771019e-05,"12","Rps2","N/A"
"Apoe.11",8.29202501511471e-38,-1.52042502331918,0.621,0.678,2.35874943579953e-33,"12","Apoe","N/A"
"H2-D1.12",3.61718260058033e-07,-1.60406331237755,0.146,0.225,0.0102894376256108,"12","H2-D1","N/A"
"Sparc.12",1.13389323518983e-06,-1.61213258373767,0.152,0.23,0.0322547269682099,"12","Sparc","N/A"
"Mal.11",1.36942712529836e-07,-1.64869970139177,0.157,0.201,0.00389547240062371,"12","Mal","N/A"
"Plp1.12",1.37356990415587e-30,-1.69574134828195,0.586,0.648,3.9072569493618e-26,"12","Plp1","N/A"
"Mbp.11",2.80625161317047e-41,-1.73881742882833,0.652,0.673,7.98266333882471e-37,"12","Mbp","N/A"
"Hexb.12",3.52441179904085e-11,-1.75112055981289,0.192,0.321,1.00255418035516e-06,"12","Hexb","N/A"
"Rps12.10",7.3870405134814e-15,-1.76032786445629,0.268,0.352,2.10131754446492e-10,"12","Rps12","N/A"
"Ptgds.12",1.27123857411098e-13,-1.77875951025488,0.242,0.251,3.6161652479161e-09,"12","Ptgds","N/A"
"Cd63.12",1.7786702434852e-09,-1.80437909541383,0.182,0.319,5.05960537461801e-05,"12","Cd63","N/A"
"Ctss.10",2.27913414780136e-20,-1.82676194300628,0.293,0.421,6.48322499683575e-16,"12","Ctss","N/A"
"Mog.12",4.09766768089659e-07,-1.83769635159148,0.101,0.134,0.0116562254850784,"12","Mog","N/A"
"C1qb.11",5.55884031958237e-09,-1.86661638590195,0.146,0.288,0.00015812677173084,"12","C1qb","N/A"
"Trf.12",7.41305225630195e-11,-1.88052253815562,0.227,0.341,2.10871684482765e-06,"12","Trf","N/A"
"Ctsz.12",1.84819295777779e-08,-1.91069902869016,0.131,0.223,0.000525736968769471,"12","Ctsz","N/A"
"Cnp.12",2.84877644214258e-10,-1.97284050689455,0.167,0.27,8.1036294673188e-06,"12","Cnp","N/A"
"Grn.12",3.88692429336344e-07,-2.02481407241159,0.091,0.173,0.0110567448449016,"12","Grn","N/A"
"Apod.12",6.31078130421509e-09,-2.06564850812177,0.146,0.227,0.000179516484979702,"12","Apod","N/A"
"Mobp.11",4.37588089205493e-18,-2.08129144036128,0.308,0.405,1.24476307855395e-13,"12","Mobp","N/A"
"C1qc.11",9.6798509150897e-08,-2.09483159847363,0.101,0.204,0.00275353039130642,"12","C1qc","N/A"
"Ctsd.12",1.00957168294489e-26,-2.10519766839052,0.298,0.426,2.87182760930504e-22,"12","Ctsd","N/A"
"Ftl1.12",1.25991957633866e-28,-2.15254136758027,0.348,0.457,3.58396722685296e-24,"12","Ftl1","N/A"
