"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","is_interneruon_marker"
"Nsf",3.06748286476965e-51,2.83995506714015,0.354,0.032,8.72576175712374e-47,"12","Nsf","N/A"
"Tceal5",8.01633394183247e-24,2.79984249009763,0.121,0.006,2.28032635309366e-19,"12","Tceal5","N/A"
"Nap1l5",4.86766950542997e-57,2.78806425822902,0.399,0.038,1.38465726751461e-52,"12","Nap1l5","N/A"
"Lynx1",1.42770307281541e-24,2.75456108152548,0.136,0.008,4.06124416093071e-20,"12","Lynx1","N/A"
"Dzank1",6.86782932061641e-20,2.74202413792786,0.106,0.006,1.95362272854254e-15,"12","Dzank1","N/A"
"Igfbp4",4.38134403907743e-19,2.72707053945341,0.131,0.011,1.24631712535597e-14,"12","Igfbp4","N/A"
"Thy1",4.57340567429777e-48,2.69446292985839,0.313,0.025,1.30095097811074e-43,"12","Thy1","N/A"
"Bcat1",2.44352937040918e-18,2.6923304116983,0.116,0.009,6.95086364706594e-14,"12","Bcat1","N/A"
"Mllt11",1.25009697351349e-33,2.68951048620473,0.222,0.018,3.55602585085648e-29,"12","Mllt11","N/A"
"Fam155a",2.59573647902267e-19,2.67606940225899,0.111,0.007,7.38383198822788e-15,"12","Fam155a","N/A"
"Pak3",5.58134346453978e-14,2.66477399912231,0.101,0.01,1.58766896192299e-09,"12","Pak3","N/A"
"Dock3",2.24476741263087e-15,2.63889265010747,0.101,0.008,6.38546538196978e-11,"12","Dock3","N/A"
"Atp1a3",1.02365800883471e-38,2.63195092462722,0.268,0.023,2.91189757193121e-34,"12","Atp1a3","N/A"
"Hspa12a",1.67405576355387e-17,2.61337440973852,0.101,0.006,4.76201902500535e-13,"12","Hspa12a","N/A"
"Eno2",8.98903938999562e-31,2.61008060484086,0.207,0.017,2.55702214487815e-26,"12","Eno2","N/A"
"Zwint",1.04457228363722e-65,2.60458794351769,0.465,0.047,2.97139031803444e-61,"12","Zwint","N/A"
"Epm2aip1",1.291755213123e-20,2.60230227240861,0.146,0.014,3.67452687924969e-16,"12","Epm2aip1","N/A"
"Dnajc6",3.81643873760322e-13,2.60133230713759,0.101,0.011,1.08562416329861e-08,"12","Dnajc6","N/A"
"Dlg2",1.8919734081538e-22,2.60001933413274,0.157,0.014,5.38190755683431e-18,"12","Dlg2","N/A"
"Habp4",1.02270427272695e-19,2.58890768509616,0.141,0.013,2.90918457419907e-15,"12","Habp4","N/A"
"Necap1",1.13481091501933e-19,2.57451970964331,0.131,0.011,3.22808312886397e-15,"12","Necap1","N/A"
"Ina",1.62673205517377e-18,2.5570458329658,0.111,0.008,4.6274020041473e-14,"12","Ina","N/A"
"Tspyl4",7.02926535510569e-54,2.55249365042672,0.359,0.031,1.99954482291337e-49,"12","Tspyl4","N/A"
"Adarb1",1.78895065187909e-22,2.5512009039222,0.121,0.007,5.08884902433527e-18,"12","Adarb1","N/A"
"Rab3a",3.95845783239341e-43,2.53416934597058,0.293,0.026,1.12602291500263e-38,"12","Rab3a","N/A"
"Pnmal2",1.19270542924193e-21,2.50736015113965,0.131,0.009,3.3927698640216e-17,"12","Pnmal2","N/A"
"Pdxp",3.21931585474584e-17,2.50056465071897,0.101,0.007,9.15766588041002e-13,"12","Pdxp","N/A"
"Nsg1",5.78017872610293e-34,2.48824403032777,0.192,0.013,1.64422964042724e-29,"12","Nsg1","N/A"
"Bex1",1.21701996496029e-16,2.48723894268934,0.106,0.009,3.46193499232604e-12,"12","Bex1","N/A"
"Vsnl1",2.25263579642509e-51,2.4866125986628,0.313,0.023,6.40784778651082e-47,"12","Vsnl1","N/A"
"Tcaf1",8.18132638016028e-25,2.48009485208391,0.202,0.023,2.32726010210039e-20,"12","Tcaf1","N/A"
"Fam131a",5.25335898633193e-15,2.47913764155433,0.101,0.008,1.49437049725198e-10,"12","Fam131a","N/A"
"Adgrl1",4.59668054619079e-13,2.47686035214215,0.101,0.01,1.30757174816943e-08,"12","Adgrl1","N/A"
"Pcdh7",3.88860317978618e-13,2.46812841621579,0.101,0.011,1.10615206052198e-08,"12","Pcdh7","N/A"
"Sult4a1",1.47150444693824e-45,2.45792187412174,0.253,0.016,4.18584154976051e-41,"12","Sult4a1","N/A"
"Mapk10",1.17790374070739e-28,2.4363668716176,0.182,0.015,3.35066498081625e-24,"12","Mapk10","N/A"
"Map1b.2",4.17610912727724e-56,2.42858774958893,0.475,0.063,1.18793600234528e-51,"12","Map1b","N/A"
"Pcp4l1",8.04355811568273e-23,2.42832445328211,0.141,0.012,2.28807054158711e-18,"12","Pcp4l1","N/A"
"Abat",1.02508710142953e-24,2.42436505096067,0.197,0.022,2.91596276872645e-20,"12","Abat","N/A"
"Nrxn1.1",1.41892429006045e-23,2.41665899988152,0.242,0.038,4.03627203550597e-19,"12","Nrxn1","N/A"
"Rnf227",1.46354995950814e-23,2.3956991913828,0.131,0.008,4.16321421481685e-19,"12","Rnf227","N/A"
"Myt1l",1.25807663441107e-24,2.38946991734376,0.121,0.005,3.57872479424573e-20,"12","Myt1l","N/A"
"Fgf13",1.00824774147139e-13,2.38846519390521,0.111,0.013,2.86806152538953e-09,"12","Fgf13","N/A"
"Atp6v1g2",5.76958924942959e-46,2.38306380486644,0.293,0.025,1.64121735789274e-41,"12","Atp6v1g2","N/A"
"Cacnb4",8.55624444050946e-14,2.38046160144996,0.116,0.014,2.43390929354732e-09,"12","Cacnb4","N/A"
"Syn2",7.32017165450919e-26,2.37393589921591,0.157,0.012,2.08229602884168e-21,"12","Syn2","N/A"
"Rims1",2.35740721087723e-33,2.37020709358994,0.187,0.012,6.70588055206138e-29,"12","Rims1","N/A"
"Nptn.1",4.07941507757455e-42,2.36307400421596,0.384,0.055,1.16043041296686e-37,"12","Nptn","N/A"
"Ncdn",1.05557444896958e-37,2.36220024268074,0.253,0.023,3.00268707753887e-33,"12","Ncdn","N/A"
"Pgm2l1",3.26027568248326e-19,2.36146534491737,0.106,0.007,9.27418020639188e-15,"12","Pgm2l1","N/A"
